form,radical_number
人,9
亻,9
𠆢,9
刀,18
刂,18
𠝆,18
水,85
氵,85
氺,85
手,64
扌,64
𠦬,64
心,61
忄,61
⺖,61
艸,140
艹,140
++,140
𢌗,140
竹,118
⺮,118
雨,173
⻗,173
冫,15
火,86
灬,86
犬,94
犭,94
衣,145
衤,145
言,149
讠,149
金,167
钅,167
糸,120
纟,120
糹,120
食,184
饣,184
𨦻,184
足,157
⻊,157
阜,170
阝,170
邑,163
阝,163
辵,162
辶,162
⻌,162
⻍,162
牛,93
牜,93
⺧,93
肉,130
⺼,130
玉,96
王,96
⺩,96
网,122
罒,122
⺲,122
⺳,122
一,1
丨,2
丶,3
丿,4
乙,5
亅,6
二,7
亠,8
儿,10
入,11
八,12
冂,13
冖,14
几,16
凵,17
力,19
勹,20
匕,21
匚,22
匸,23
十,24
卜,25
卩,26
厂,27
厶,28
又,29
口,30
囗,31
土,32
士,33
夂,34
夊,35
夕,36
大,37
女,38
子,39
宀,40
寸,41
小,42
尢,43
尸,44
屮,45
山,46
巛,47
工,48
己,49
巾,50
干,51
幺,52
广,53
廴,54
廾,55
弋,56
弓,57
彐,58
彡,59
彳,60
戈,62
戶,63
支,65
攴,66
文,67
斗,68
斤,69
方,70
无,71
日,72
曰,73
月,74
木,75
欠,76
止,77
歹,78
殳,79
毋,80
比,81
毛,82
氏,83
气,84
爪,87
父,88
爻,89
爿,90
片,91
牙,92
玄,95
瓜,97
瓦,98
甘,99
生,100
用,101
田,102
疋,103
疒,104
癶,105
白,106
皮,107
皿,108
目,109
矛,110
矢,111
石,112
示,113
禸,114
禾,115
穴,116
立,117
米,119
缶,121
羊,123
羽,124
老,125
外,126
耒,127
耳,128
聿,129
臣,131
自,132
至,133
臼,134
舌,135
舛,136
舟,137
艮,138
色,139
虍,141
虫,142
血,143
行,144
襾,146
見,147
角,148
谷,150
豆,151
豕,152
豸,153
貝,154
赤,155
走,156
身,158
車,159
辛,160
辰,161
酉,164
辨,165
里,166
長,168
門,169
隶,171
隹,172
靑,174
非,175
面,176
革,177
韋,178
韭,179
音,180
頁,181
風,182
飛,183
首,185
香,186
馬,187
骨,188
高,189
髟,190
鬥,191
鬯,192
鬲,193
鬼,194
魚,195
鳥,196
鹵,197
鹿,198
麥,199
麻,200
黃,201
黍,202
黑,203
黹,204
黽,205
鼎,206
鼓,207
鼠,208
鼻,209
齊,210
齒,211
龍,212
龜,213
龠,214
